Company,TypeName,Inches,Ram,OpSys,Weight(kg),Price_euros,Cpu_brand,Cpu_type,Cpu_speed,Memory_capacity,Memory_type,Screen,Screen_touch,Screen_type
Dell,Ultrabook,13.3,8GB,Windows 10,1.4,931.88,Intel,i7,1.8,256.0,SSD,1920x1080,0,IPS Panel
Lenovo,Notebook,17.3,8GB,No OS,2.8,589.0,Intel,i5,2.5,1000.0,HDD,1600x900,0,NaN
HP,Notebook,14.0,8GB,Windows 10,1.63,1031.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,Full HD
Dell,Ultrabook,14.0,8GB,Windows 10,1.6,1149.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,Full HD
Dell,2 in 1 Convertible,13.3,16GB,Windows 10,1.62,1279.0,Intel,i7,1.8,512.0,SSD,1920x1080,1,Full HD
Dell,Notebook,15.6,8GB,Linux,2.2,677.35,Intel,i5,1.6,256.0,SSD,1920x1080,0,Full HD
Lenovo,2 in 1 Convertible,14.0,8GB,Windows 10,1.74,899.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,IPS Panel
Toshiba,Ultrabook,13.3,8GB,Windows 10,1.2,1363.0,Intel,i7,2.5,256.0,SSD,1920x1080,0,Full HD
HP,Notebook,15.6,8GB,Windows 10,2.1,794.0,Intel,i5,1.6,1000.0,HDD,1920x1080,0,Full HD
Dell,Gaming,17.3,16GB,Windows 10,4.42,2456.34,Intel,i7,2.8,256.0,SSD,1920x1080,0,IPS Panel
Acer,Notebook,15.6,8GB,Windows 10,2.2,832.0,Intel,i7,2.7,256.0,SSD,1920x1080,0,Full HD
Dell,Notebook,15.6,16GB,Windows 10,2.3,859.01,Intel,i7,2.7,1000.0,HDD,1920x1080,1,Full HD
Asus,Notebook,15.6,8GB,Windows 10,2.0,769.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,Full HD
Asus,Notebook,17.3,8GB,Windows 10,2.69,891.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,Full HD
HP,Notebook,15.6,8GB,Windows 10,1.9,1269.0,Intel,i7,2.7,1000.0,HDD,1920x1080,0,Full HD
Asus,Notebook,15.6,4GB,Windows 10,2.37,398.99,Intel,i3,2.4,1000.0,HDD,1366x768,0,NaN
HP,Notebook,15.6,4GB,Windows 10,2.1,330.0,AMD,E,1.5,500.0,HDD,1366x768,0,NaN
Lenovo,Gaming,15.6,16GB,Windows 10,3.2,1499.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,IPS Panel
Dell,Notebook,14.0,8GB,Windows 10,1.6,859.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,Full HD
Acer,2 in 1 Convertible,13.3,8GB,Windows 10,1.6,689.0,Intel,i5,2.3,256.0,SSD,1920x1080,1,IPS Panel
Dell,Notebook,15.6,16GB,Linux,2.36,899.0,Intel,i7,2.7,256.0,SSD,1920x1080,0,Full HD
Acer,Notebook,15.6,4GB,Linux,2.1,390.0,Intel,i3,2.0,1000.0,HDD,1366x768,0,NaN
Asus,Notebook,15.6,4GB,Windows 10,2.2,575.0,AMD,A10,2.5,128.0,SSD,1920x1080,0,Full HD
Asus,Gaming,17.3,32GB,Windows 10,4.7,3890.0,Intel,i7,2.9,512.0,SSD,1920x1080,0,Full HD
Acer,Gaming,15.6,8GB,Windows 10,2.5,846.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,IPS Panel
Lenovo,Notebook,15.6,8GB,Windows 10,2.2,589.0,Intel,i3,2.0,128.0,SSD,1366x768,0,NaN
Asus,Notebook,17.3,8GB,Windows 10,2.1,1145.0,Intel,i7,1.8,128.0,SSD,1920x1080,0,Full HD
Asus,Notebook,17.3,8GB,No OS,2.69,889.0,Intel,i7,2.7,128.0,SSD,1920x1080,0,Full HD
Dell,Gaming,15.6,8GB,Windows 10,2.56,879.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,Full HD
Lenovo,2 in 1 Convertible,13.9,8GB,Windows 10,1.38,1079.0,Intel,i7,2.7,256.0,SSD,1920x1080,1,IPS Panel
Dell,Notebook,15.6,8GB,Windows 10,2.2,985.0,Intel,i7,1.8,128.0,SSD,1920x1080,0,Full HD
HP,Notebook,15.6,8GB,Windows 10,2.04,559.0,Intel,i5,2.5,1000.0,HDD,1366x768,1,NaN
Asus,Gaming,17.3,16GB,Windows 10,3.6,2999.0,Intel,i7,2.9,256.0,SSD,1920x1080,0,Full HD
HP,Notebook,13.3,4GB,Windows 10,1.49,675.0,Intel,i5,1.6,500.0,HDD,1920x1080,0,IPS Panel
Apple,Ultrabook,13.3,8GB,macOS,1.37,2040.0,Intel,i5,3.1,512.0,SSD,2560x1600,0,IPS Panel
Dell,2 in 1 Convertible,15.6,8GB,Windows 10,2.08,819.0,Intel,i7,1.8,1000.0,HDD,1920x1080,1,IPS Panel
Asus,Gaming,17.3,16GB,Windows 10,4.3,1799.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
Asus,Notebook,15.6,4GB,Windows 10,1.68,469.0,AMD,A9,3.0,1000.0,HDD,1366x768,0,NaN
Lenovo,2 in 1 Convertible,13.9,8GB,Windows 10,1.37,1849.0,Intel,i7,1.8,512.0,SSD,1920x1080,1,IPS Panel
Acer,Notebook,17.3,4GB,Windows 10,3.0,702.0,Intel,i3,2.7,256.0,SSD,1920x1080,0,IPS Panel
Dell,Ultrabook,13.3,8GB,Windows 10,1.41,949.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,Full HD
HP,Notebook,15.6,8GB,Windows 10,1.91,445.9,AMD,A6,2.5,128.0,SSD,1366x768,0,NaN
HP,Notebook,17.3,16GB,Windows 10,2.9,1059.0,Intel,i7,1.8,1000.0,HDD,1920x1080,0,IPS Panel
MSI,Gaming,17.3,16GB,Windows 10,4.14,2499.0,Intel,i7,2.8,512.0,SSD,1920x1080,0,Full HD
Lenovo,2 in 1 Convertible,15.6,8GB,Windows 10,2.0,1699.0,Intel,i7,2.8,512.0,SSD,1920x1080,1,IPS Panel
Dell,Notebook,17.3,8GB,Windows 10,2.8,1142.0,Intel,i7,1.8,128.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,4GB,No OS,2.2,444.0,Intel,i3,2.0,256.0,SSD,1920x1080,0,Full HD
HP,Notebook,15.6,4GB,Windows 10,2.1,722.0,Intel,i5,1.6,500.0,HDD,1920x1080,0,IPS Panel
Dell,Notebook,15.6,4GB,Windows 10,2.18,657.0,Intel,i5,2.5,1000.0,HDD,1920x1080,0,Full HD
Dell,Notebook,15.6,8GB,Windows 10,2.24,565.0,Intel,i5,2.5,1000.0,HDD,1920x1080,0,Full HD
Dell,2 in 1 Convertible,15.6,8GB,Windows 10,2.67,799.0,Intel,i5,1.6,256.0,SSD,1920x1080,1,Full HD
Asus,2 in 1 Convertible,13.3,8GB,Windows 10,1.1,1499.0,Intel,i7,1.8,512.0,SSD,1920x1080,1,Full HD
Lenovo,Notebook,15.6,4GB,No OS,2.2,467.0,Intel,i5,2.5,1000.0,HDD,1920x1080,0,Full HD
HP,Notebook,17.3,8GB,Windows 10,2.5,1018.0,Intel,i7,1.8,1000.0,HDD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,8GB,Windows 10,2.05,880.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,Full HD
Apple,Ultrabook,13.3,8GB,macOS,1.37,1958.9,Intel,i5,2.9,512.0,SSD,2560x1600,0,IPS Panel
Asus,Gaming,17.3,16GB,Windows 10,3.2,1549.0,AMD,Ryzen,3.0,256.0,SSD,1920x1080,0,Full HD
Dell,Notebook,15.6,8GB,Linux,2.14,735.07,Intel,i7,1.8,256.0,SSD,1920x1080,0,Full HD
Lenovo,2 in 1 Convertible,14.0,16GB,Windows 10,1.36,2499.0,Intel,i7,2.6,512.0,SSD,2560x1440,1,NaN
Toshiba,Notebook,15.6,8GB,Windows 10,2.2,812.0,Intel,i7,2.5,500.0,HDD,1366x768,0,NaN
Dell,Notebook,15.6,12GB,Windows 10,2.3,713.07,Intel,i7,2.7,1000.0,HDD,1366x768,0,NaN
Dell,Notebook,17.3,8GB,Linux,2.8,1099.0,Intel,i7,1.8,128.0,SSD,1920x1080,0,Full HD
Acer,Notebook,15.6,8GB,Windows 10,2.2,745.0,Intel,i7,1.8,1000.0,HDD,1920x1080,0,IPS Panel
Lenovo,Notebook,17.3,4GB,Windows 10,2.8,489.0,Intel,i3,2.0,1000.0,HDD,1600x900,0,NaN
Lenovo,Notebook,17.3,8GB,No OS,2.8,849.0,Intel,i7,1.8,2000.0,HDD,1920x1080,0,Full HD
Lenovo,Notebook,17.3,6GB,Windows 10,2.8,859.0,Intel,i7,2.7,128.0,SSD,1600x900,0,NaN
Dell,Notebook,15.6,4GB,Linux,2.25,428.0,Intel,i3,2.0,1000.0,HDD,1920x1080,0,Full HD
Lenovo,Gaming,15.6,8GB,Windows 10,2.5,829.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,IPS Panel
Lenovo,Notebook,15.6,6GB,Windows 10,2.2,579.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,Full HD
Acer,Notebook,15.6,8GB,Windows 10,3.0,951.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,IPS Panel
Acer,Notebook,15.6,12GB,Windows 10,2.15,659.0,Intel,i7,2.7,1000.0,HDD,1920x1080,1,IPS Panel
Lenovo,Notebook,15.6,8GB,Windows 10,1.95,1097.0,Intel,i7,2.7,256.0,SSD,1920x1080,0,IPS Panel
Asus,Ultrabook,15.6,8GB,Windows 10,1.7,977.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,Full HD
Lenovo,Gaming,15.6,16GB,Windows 10,2.5,1179.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,IPS Panel
Lenovo,Notebook,15.6,8GB,No OS,2.2,659.01,Intel,i7,2.7,1000.0,HDD,1920x1080,0,Full HD
Acer,Notebook,15.6,2GB,Chrome OS,2.19,199.0,Intel,Dual,1.5,16.0,SSD,1366x768,0,NaN
Asus,Gaming,17.3,8GB,Windows 10,3.0,1187.0,Intel,i7,2.8,1000.0,HDD,1920x1080,0,Full HD
HP,Notebook,17.3,8GB,Windows 10,2.54,489.0,Intel,i3,2.0,1000.0,HDD,1600x900,0,NaN
Dell,Notebook,15.6,8GB,Windows 10,2.0,1829.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,8GB,Windows 10,2.05,739.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,Full HD
Lenovo,Gaming,15.6,8GB,Windows 10,3.2,1299.0,Intel,i7,2.8,1000.0,HDD,1920x1080,0,IPS Panel
Acer,Notebook,15.6,8GB,Linux,2.5,979.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
Dell,Workstation,17.3,16GB,Windows 10,3.42,2884.86,Intel,i7,2.9,256.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,6GB,Windows 10,2.4,499.0,AMD,A10,2.4,1000.0,HDD,1920x1080,0,Full HD
Asus,Ultrabook,15.6,16GB,Windows 10,1.63,1468.0,Intel,i7,2.7,512.0,SSD,1920x1080,0,Full HD
Asus,Notebook,14.0,4GB,Windows 10,1.3,509.0,Intel,i3,2.4,128.0,SSD,1366x768,0,NaN
Asus,Gaming,17.3,16GB,Windows 10,2.9,2122.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,17.3,6GB,Windows 10,2.8,649.0,Intel,i5,2.5,1000.0,HDD,1600x900,0,NaN
Lenovo,Notebook,15.6,8GB,No OS,2.2,549.0,Intel,i5,2.5,2000.0,HDD,1366x768,0,NaN
Asus,Gaming,15.6,8GB,Windows 10,2.5,1265.0,Intel,i7,2.8,128.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,4GB,No OS,2.2,359.99,Intel,Quad,1.1,1000.0,HDD,1366x768,0,NaN
HP,2 in 1 Convertible,13.3,16GB,Windows 10,1.28,1975.0,Intel,i7,2.8,256.0,SSD,1920x1080,1,Full HD
Toshiba,Notebook,15.6,8GB,Windows 10,2.2,1043.0,Intel,i7,2.5,256.0,SSD,1920x1080,0,IPS Panel
Lenovo,Notebook,15.6,8GB,Windows 10,2.3,819.0,Intel,i5,2.5,128.0,SSD,1920x1080,0,Full HD
HP,Notebook,15.6,4GB,Windows 10,1.86,469.0,Intel,i3,2.0,1000.0,HDD,1920x1080,0,Full HD
Lenovo,Notebook,13.3,8GB,Windows 10,1.1,999.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,IPS Panel
Dell,Ultrabook,13.3,16GB,Windows 10,1.21,2499.0,Intel,i7,1.8,1000.0,SSD,3840x2160,1,IPS Panel
MSI,Gaming,15.6,16GB,Windows 10,2.8,2099.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,IPS Panel
Acer,Notebook,15.6,8GB,Windows 10,2.23,469.0,AMD,A8,2.2,256.0,SSD,1920x1080,0,Full HD
Asus,2 in 1 Convertible,11.6,2GB,Windows 10,1.1,275.0,Intel,Dual,1.1,32.0,Flash,1366x768,1,NaN
Dell,Notebook,15.6,8GB,Windows 10,2.33,844.0,Intel,i5,1.6,128.0,SSD,1920x1080,0,Full HD
HP,2 in 1 Convertible,13.3,16GB,Windows 10,1.29,2449.0,Intel,i7,1.8,1000.0,SSD,3840x2160,1,IPS Panel
Lenovo,Notebook,13.3,4GB,Chrome OS,1.45,459.9,Intel,Dual,1.6,16.0,Flash,1366x768,0,NaN
HP,Notebook,14.0,8GB,Windows 10,1.95,980.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,Full HD
Acer,Notebook,11.6,4GB,Windows 10,1.4,485.0,Intel,Quad,1.6,128.0,Flash,1366x768,0,NaN
HP,Notebook,14.0,8GB,Windows 10,1.48,1292.0,Intel,i7,2.7,256.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,17.3,4GB,Windows 10,2.79,589.0,Intel,i5,2.5,1000.0,HDD,1600x900,0,NaN
Asus,Notebook,14.0,8GB,Windows 10,2.0,1094.0,Intel,i7,2.7,256.0,SSD,1920x1080,0,Full HD
HP,Notebook,15.6,8GB,Windows 10,2.1,902.0,Intel,i7,1.8,1000.0,HDD,1366x768,0,IPS Panel
Acer,Notebook,15.6,8GB,Windows 10,2.2,659.0,AMD,A12,2.7,256.0,SSD,1366x768,0,NaN
Lenovo,Notebook,14.0,4GB,Windows 10,1.44,292.0,Intel,Dual,1.1,32.0,Flash,1366x768,0,NaN
Acer,Notebook,15.6,6GB,Windows 10,2.23,549.0,Intel,i5,2.5,1000.0,HDD,1366x768,0,NaN
Asus,Ultrabook,15.6,8GB,Windows 10,1.7,1049.9,Intel,i7,2.7,256.0,SSD,1920x1080,0,Full HD
HP,Ultrabook,12.5,8GB,Windows 10,1.26,1335.0,Intel,i7,2.7,256.0,SSD,1920x1080,0,Full HD
Dell,Notebook,15.6,32GB,Windows 10,2.06,2639.0,Intel,i7,2.8,1000.0,SSD,3840x2160,1,4K Ultra HD
MSI,Gaming,17.3,8GB,Windows 10,2.7,1199.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
Toshiba,Notebook,15.6,8GB,Windows 10,2.0,943.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,IPS Panel
Asus,Notebook,14.0,8GB,Windows 10,2.0,1334.0,Intel,i7,2.7,256.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,4GB,Windows 10,1.85,449.0,Intel,i3,2.0,1000.0,HDD,1920x1080,0,Full HD
Asus,Gaming,15.6,8GB,Windows 10,2.5,999.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
HP,Notebook,14.0,8GB,Windows 10,1.48,1268.0,Intel,i5,2.6,256.0,SSD,1920x1080,0,Full HD
Dell,Ultrabook,15.6,8GB,Windows 10,1.9,1049.0,Intel,i5,1.6,128.0,SSD,1920x1080,0,IPS Panel
HP,Notebook,15.6,8GB,Windows 10,1.84,1144.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,Full HD
Asus,Notebook,15.6,4GB,Linux,2.0,274.99,Intel,Dual,1.1,1000.0,HDD,1366x768,0,NaN
Dell,Notebook,15.6,8GB,Windows 10,2.0,1142.75,Intel,i5,1.6,256.0,SSD,1920x1080,0,Full HD
Dell,Notebook,15.6,4GB,Linux,2.2,274.9,Intel,Dual,1.6,500.0,HDD,1366x768,0,NaN
Lenovo,Notebook,15.6,12GB,Windows 10,2.2,899.0,AMD,A12,3.6,2000.0,HDD,1920x1080,0,Full HD
HP,Notebook,15.6,8GB,Windows 10,2.1,716.0,Intel,i3,2.4,1000.0,HDD,1920x1080,0,IPS Panel
Lenovo,2 in 1 Convertible,13.9,16GB,Windows 10,1.4,2099.0,Intel,i7,1.8,512.0,SSD,3840x2160,1,IPS Panel
Dell,Ultrabook,13.3,8GB,Windows 10,1.2,1579.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,Full HD
Lenovo,Gaming,15.6,16GB,Windows 10,2.4,1129.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,IPS Panel
HP,Notebook,14.0,2GB,Windows 10,1.44,279.0,Intel,Dual,1.6,32.0,Flash,1366x768,0,NaN
Dell,Ultrabook,15.6,16GB,Windows 10,1.88,1607.96,Intel,i7,1.9,512.0,SSD,1920x1080,0,Full HD
Asus,2 in 1 Convertible,11.6,4GB,Windows 10,1.5,375.0,Intel,Dual,1.1,32.0,Flash,1366x768,1,NaN
Dell,Ultrabook,15.6,8GB,Windows 10,1.9,663.0,Intel,i5,1.6,1000.0,HDD,1920x1080,0,Full HD
Dell,Notebook,15.6,16GB,Windows 10,2.06,2027.42,Intel,i7,2.8,512.0,SSD,3840x2160,1,4K Ultra HD
HP,Notebook,15.6,8GB,Windows 10,1.84,1304.0,Intel,i7,2.7,256.0,SSD,1920x1080,0,Full HD
MSI,Gaming,17.3,8GB,Windows 10,2.7,1409.0,Intel,i7,2.8,128.0,SSD,1920x1080,0,Full HD
HP,Workstation,15.6,8GB,Windows 10,2.6,1738.27,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
Toshiba,Notebook,15.6,16GB,Windows 10,2.4,1403.0,Intel,i7,2.5,512.0,SSD,1920x1080,0,IPS Panel
Dell,Notebook,15.6,8GB,Windows 10,2.02,970.9,Intel,i7,1.8,128.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,4GB,No OS,2.2,321.99,Intel,Dual,1.1,1000.0,HDD,1366x768,0,NaN
Dell,Gaming,15.6,8GB,Windows 10,2.65,999.0,Intel,i5,2.5,1000.0,HDD,1920x1080,0,Full HD
Dell,Notebook,15.6,8GB,Windows 10,2.36,557.37,Intel,i5,2.5,2000.0,HDD,1366x768,1,NaN
Dell,Notebook,14.0,8GB,Windows 10,1.36,1427.0,Intel,i5,2.6,256.0,SSD,1920x1080,0,Full HD
HP,Notebook,15.6,4GB,Windows 10,1.86,439.0,Intel,i3,2.0,500.0,HDD,1366x768,0,NaN
Asus,Notebook,14.0,8GB,Windows 10,2.0,945.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,17.3,6GB,Windows 10,2.8,719.0,Intel,i5,2.5,128.0,SSD,1600x900,0,NaN
HP,Notebook,15.6,8GB,Windows 10,1.86,639.0,Intel,i5,2.5,1000.0,HDD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,8GB,No OS,2.2,499.0,Intel,i3,2.0,256.0,SSD,1366x768,0,NaN
HP,Notebook,15.6,8GB,Windows 10,2.04,389.0,Intel,Quad,1.6,2000.0,HDD,1366x768,0,NaN
Dell,Notebook,17.3,8GB,Windows 10,2.8,1085.0,Intel,i5,1.6,128.0,SSD,1920x1080,0,Full HD
Lenovo,Gaming,15.6,8GB,No OS,2.4,809.0,Intel,i5,2.5,128.0,SSD,1920x1080,0,IPS Panel
Dell,Notebook,15.6,8GB,Windows 10,2.33,899.0,Intel,i7,2.7,256.0,SSD,1920x1080,0,Full HD
HP,Ultrabook,14.0,8GB,Windows 10,1.36,1750.0,Intel,i7,2.7,256.0,SSD,1920x1080,0,IPS Panel
Asus,2 in 1 Convertible,15.6,12GB,Windows 10,2.26,1099.0,Intel,i7,2.7,512.0,SSD,1920x1080,1,Full HD
Acer,Notebook,15.6,4GB,Windows 10,2.1,426.0,AMD,A9,3.0,128.0,SSD,1366x768,0,NaN
Asus,Gaming,17.3,16GB,Windows 10,3.25,2199.0,AMD,Ryzen,3.0,256.0,SSD,1920x1080,0,IPS Panel
Lenovo,Notebook,17.3,4GB,Windows 10,2.6,489.0,AMD,A8,2.2,128.0,SSD,1600x900,0,NaN
Dell,2 in 1 Convertible,13.3,8GB,Windows 10,1.62,869.01,Intel,i7,1.8,256.0,SSD,1920x1080,1,Full HD
HP,Notebook,15.6,4GB,Windows 10,1.91,488.99,AMD,A9,3.0,256.0,SSD,1920x1080,0,Full HD
Lenovo,Netbook,11.6,4GB,Windows 10,1.59,553.0,Intel,Quad,1.1,128.0,SSD,1366x768,0,IPS Panel
Dell,Notebook,15.6,4GB,Windows 10,1.8,309.0,Intel,Dual,1.6,500.0,HDD,1366x768,0,NaN
Asus,Notebook,14.0,4GB,Windows 10,1.5,286.0,Intel,Dual,1.1,32.0,Flash,1366x768,0,NaN
Acer,Notebook,15.6,8GB,Linux,2.4,846.0,Intel,i7,2.8,1000.0,HDD,1920x1080,0,Full HD
HP,Gaming,17.3,8GB,Windows 10,3.35,1191.0,Intel,i7,2.8,128.0,SSD,1920x1080,0,IPS Panel
Lenovo,Notebook,15.6,4GB,No OS,1.85,403.5,Intel,i3,2.0,128.0,SSD,1920x1080,0,Full HD
Asus,Gaming,15.6,8GB,Windows 10,2.3,1655.0,Intel,i7,2.8,128.0,SSD,1920x1080,0,IPS Panel
Lenovo,Notebook,14.0,8GB,Windows 10,1.5,1099.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,IPS Panel
Asus,Ultrabook,13.3,16GB,Windows 10,1.1,1748.9,Intel,i7,2.7,512.0,SSD,1920x1080,1,Full HD
Lenovo,Ultrabook,14.0,8GB,Windows 10,1.13,2282.0,Intel,i7,2.7,512.0,SSD,2560x1440,0,IPS Panel
Lenovo,Notebook,13.3,4GB,Windows 10,1.5,549.0,Intel,i3,2.4,128.0,SSD,1920x1080,0,IPS Panel
Dell,Workstation,15.6,8GB,Windows 10,2.23,1369.0,Intel,i5,2.6,500.0,HDD,1920x1080,0,Full HD
Dell,Workstation,15.6,8GB,Windows 10,2.0,2135.0,Intel,i7,2.7,256.0,SSD,1920x1080,0,IPS Panel
Lenovo,2 in 1 Convertible,14.0,16GB,Windows 10,1.42,2509.0,Intel,i7,2.7,512.0,SSD,2560x1440,1,NaN
Asus,Gaming,17.3,8GB,Windows 10,3.0,1039.0,Intel,i7,2.8,1000.0,HDD,1920x1080,0,Full HD
Asus,Gaming,17.3,16GB,Windows 10,3.0,1591.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
Acer,Notebook,15.6,12GB,Windows 10,2.2,693.99,Intel,i5,1.6,1000.0,HDD,1366x768,0,IPS Panel
MSI,Gaming,17.3,8GB,Windows 10,2.7,1349.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
Dell,Notebook,15.6,8GB,Linux,2.33,778.87,Intel,i7,2.7,256.0,SSD,1920x1080,0,Full HD
HP,Ultrabook,15.6,4GB,Windows 10,1.91,499.0,AMD,A9,3.0,256.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,8GB,Windows 10,2.1,1229.56,Intel,i7,1.8,256.0,SSD,1920x1080,0,IPS Panel
Lenovo,Notebook,14.0,8GB,Windows 10,1.9,938.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,IPS Panel
Dell,Workstation,15.6,8GB,Windows 10,1.78,2712.0,Intel,i7,2.8,256.0,SSD,3840x2160,1,4K Ultra HD
Lenovo,Ultrabook,14.0,16GB,Windows 10,1.13,2625.0,Intel,i7,2.7,1000.0,SSD,2560x1440,0,IPS Panel
Lenovo,Notebook,15.6,4GB,Windows 10,2.2,306.0,Intel,Dual,1.1,1000.0,HDD,1366x768,0,NaN
Asus,Gaming,17.3,16GB,Windows 10,2.9,1529.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,8GB,Windows 10,2.1,1144.5,Intel,i5,1.6,256.0,SSD,1920x1080,0,IPS Panel
Acer,Notebook,15.6,8GB,Linux,2.5,879.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
MSI,Gaming,17.3,16GB,Windows 10,2.8,2249.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
Asus,Ultrabook,14.0,8GB,Windows 10,1.1,1873.0,Intel,i7,2.7,512.0,SSD,1920x1080,0,Full HD
Toshiba,Ultrabook,13.3,16GB,Windows 10,1.2,1747.0,Intel,i7,2.5,512.0,SSD,1920x1080,0,Full HD
Dell,Ultrabook,14.0,8GB,Windows 10,1.36,1680.0,Intel,i7,2.8,512.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,15.6,4GB,Windows 10,2.2,409.0,Intel,i3,2.0,500.0,HDD,1920x1080,0,Full HD
Lenovo,Notebook,11.6,2GB,Windows 10,1.15,304.45,Intel,Dual,1.1,32.0,Flash,1366x768,0,NaN
Lenovo,Workstation,15.6,8GB,Windows 10,2.67,1925.0,Intel,i7,2.8,512.0,SSD,1920x1080,0,Full HD
Lenovo,Ultrabook,14.0,8GB,Windows 10,1.7,1943.0,Intel,i7,2.8,512.0,SSD,2560x1440,0,IPS Panel
HP,Notebook,15.6,4GB,Windows 10,2.1,469.0,Intel,i3,2.0,1000.0,HDD,1920x1080,0,Full HD
Acer,2 in 1 Convertible,13.3,8GB,Windows 10,1.6,789.01,Intel,i7,2.5,256.0,SSD,1920x1080,1,IPS Panel
Asus,2 in 1 Convertible,13.3,8GB,Windows 10,1.27,928.0,Intel,i5,2.5,256.0,SSD,1920x1080,1,IPS Panel
Dell,Notebook,15.6,4GB,Linux,2.3,598.9,Intel,i5,2.5,256.0,SSD,1920x1080,0,Full HD
Dell,Notebook,13.3,4GB,Windows 10,1.65,689.0,Intel,i3,2.0,128.0,SSD,1366x768,0,NaN
HP,Ultrabook,14.0,8GB,Windows 10,1.43,1500.0,Intel,i7,2.5,256.0,SSD,1920x1080,0,Full HD
Dell,Notebook,15.6,8GB,Windows 10,2.14,539.95,Intel,i5,2.5,1000.0,HDD,1366x768,0,NaN
Lenovo,Ultrabook,14.0,8GB,Windows 10,1.75,1215.38,Intel,i7,1.8,256.0,SSD,1920x1080,0,IPS Panel
Lenovo,2 in 1 Convertible,15.6,16GB,Windows 10,2.0,1899.0,Intel,i7,2.8,512.0,SSD,3840x2160,1,IPS Panel
Chuwi,Notebook,12.3,6GB,Windows 10,1.4,449.0,Intel,Quad,1.1,64.0,Flash,2736x1824,0,IPS Panel
HP,Notebook,15.6,8GB,Windows 10,2.31,1427.0,Intel,i7,2.9,256.0,SSD,1920x1080,0,Full HD
Asus,Notebook,15.6,8GB,Linux,2.3,597.0,Intel,i3,2.4,1000.0,HDD,1920x1080,0,Full HD
Dell,Gaming,17.3,16GB,Windows 10,4.42,2799.0,Intel,i7,2.9,256.0,SSD,2560x1440,0,IPS Panel
Dell,Gaming,15.6,8GB,Windows 10,2.62,1159.0,Intel,i7,2.8,128.0,SSD,1920x1080,0,IPS Panel
Dell,Notebook,15.6,8GB,Windows 10,2.02,1142.4,Intel,i7,1.8,256.0,SSD,1920x1080,0,Full HD
Dell,Ultrabook,14.0,8GB,Linux,1.6,1099.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
HP,Gaming,17.3,12GB,Windows 10,3.35,1999.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
